Sample,	Type,	m_id,	ECMS Date,	ECMS tstamp	,i_id,	description,	amount [pmol],	Electrolysis interval [s],	rate [pmol/s],	avg current density[mA],	avg potential [VRHE]
Easter1B,	amorphous Ru^{18}O2,	161,	19D26,	1556287106.0052,	22,	20 min,	1186.5092485625914,	[660.0, 1280.0],	[1.91372459],	0.10004919002677419,	1.4128889878403226
Easter1B,	amorphous Ru^{18}O2,	161,	19D26,	1556287106.0052,	23,	30 min,	312.1781718827542,	[1280.0, 1830.0],	[0.56759668],	0.09988162709350948,	1.412762202441349
Jazz5,	(EC-treated) metallic Ir,	163,	19D29,	1556546370.0052,	75,	2 min,	44.65621937790066,	[25.0, 145.0],	[0.37213516],	0.09990547093135448,	1.5340150194402673
Jazz5,	(EC-treated) metallic Ir,	163,	19D29,	1556546370.0052,	76,	10 min,	31.041611944211912,	[145.0, 610.0],	[0.06675615],	0.1000505902051613,	1.5399283360924731
Jazz5,	(EC-treated) metallic Ir,	163,	19D29,	1556546370.0052,	77,	20 min,	20.006492575415624,	[610.0, 1250.0],	[0.03126014],	0.09944228691044486,	1.5390578582344494
Jazz5,	(EC-treated) metallic Ir,	163,	19D29,	1556546370.0052,	78,	30 min,	13.602932041217048,	[1250.0, 2000.0],	[0.01813724],	0.10005031711565712,	1.534971785159405
Folk3,	(EC-treated) rutile IrO2,	164,	19D29,	1556550002.0156,	73,	2 min,	2.3911603404418416,	[70.0, 190.0],	[0.01992634],	0.10005015543,	1.4566872573083334
Folk3,	(EC-treated) rutile IrO2,	164,	19D29,	1556550002.0156,	74,	10 min,	1.0272194918863622,	[190.0, 800.0],	[0.00168397],	0.09439855449460975,	1.4501344622315653
Goof1A,	RT Ir^{18}O2,	165,	19D29,	1556551766.0156,	46,	2 min,	16.60604907319448,	[40.0, 160.0],	[0.13838374],	0.10004922639166666,	1.5413031907333334
Goof1A,	RT Ir^{18}O2,	165,	19D29,	1556551766.0156,	47,	10 min,	7.387366522085537,	[160.0, 620.0],	[0.01605949],	0.10005082302565219,	1.5373876238326085
Goof1A,	RT Ir^{18}O2,	165,	19D29,	1556551766.0156,	48,	20 min,	4.6011183550485475,	[620.0, 1245.0],	[0.00736179],	0.10005064751312001,	1.5366305031535998
Goof1A,	RT Ir^{18}O2,	165,	19D29,	1556551766.0156,	49,	30 min,	4.077441744035522,	[1245.0, 1820.0],	[0.0070912],	0.1000508012093913,	1.5367941759130435
Goof1B,	RT Ir^{18}O2,	171,	19E06,	1557167949.0052,	51,	2 min,	10.765412444874116,	[30.0, 150.0],	[0.08971177],	0.10005529939916666,	1.544271425375
Goof1B,	RT Ir^{18}O2,	171,	19E06,	1557167949.0052,	52,	10 min,	7.605775475428449,	[150.0, 630.0],	[0.01584537],	0.10003632387321042,	1.6577504390875
Goof1B,	RT Ir^{18}O2,	171,	19E06,	1557167949.0052,	53,	20 min,	4.5072303940773235,	[630.0, 1215.0],	[0.00770467],	0.10005492120170939,	1.542794002786325
Evans12,	Ru foam,	182,	19E09,	1557410725.0004,	30,	2 min,	2576.737507959516,	[120.0, 240.0],	[21.47281257],	0.10007826817333333,	1.410548665725
Evans12,	Ru foam,	182,	19E09,	1557410725.0004,	31,	10 min,	3248.2276490104728,	[240.0, 750.0],	[6.36907382],	0.1000829164592157,	1.417099686460784
Evans12,	Ru foam,	182,	19E09,	1557410725.0004,	32,	20 min,	2351.1738529230556,	[750.0, 1275.0],	[4.47842639],	0.10007564554133334,	1.421595014902857
Evans12,	Ru foam,	182,	19E09,	1557410725.0004,	33,	30 min,	2953.6465650482032,	[1275.0, 1945.0],	[4.40842771],	0.10007770419656717,	1.4269026363865671
Stoff4A,	rutile Ru^{18}O2,	192,	19J21,	1571668708.0004,	79,	2 min @100uA,	398.1796209081655,	[130.0, 250.0],	[3.31816351],	0.10006008992500001,	1.4508075033333334
Stoff4A,	rutile Ru^{18}O2,	192,	19J21,	1571668708.0004,	80,	10 min @100uA,	208.72824914509826,	[250.0, 700.0],	[0.46384055],	0.10004836786444445,	1.4765587828555555
Stoff4A,	rutile Ru^{18}O2,	192,	19J21,	1571668708.0004,	81,	20 min @100uA,	195.7606748290996,	[700.0, 1315.0],	[0.31831004],	0.10005024572439024,	1.4480719526829269
Stoff4B,	rutile Ru^{18}O2,	193,	19J21,	1571671485.0004,	83,	2 min @30uA,	198.89408327852536,	[150.0, 270.0],	[1.65745069],	0.029988597241666668,	1.4180523057916667
Stoff4B,	rutile Ru^{18}O2,	193,	19J21,	1571671485.0004,	84,	10 min @30uA,	82.73748774630408,	[270.0, 735.0],	[0.17793008],	0.02996552717741936,	1.4184620035376345
Stoff4B,	rutile Ru^{18}O2,	193,	19J21,	1571671485.0004,	85,	20 min @30uA,	65.8239833214887,	[735.0, 1320.0],	[0.11251963],	0.02997801893589743,	1.418740705709402
Taiwan1C,	amorphous Ru^{18}O2,	209,	19L07,	1575816376.0004,	121,	2 min,	1532.2387246605074,	[340.0, 460.0],	[12.76865604],	0.09634320054543087,	1.4005125505035971
Taiwan1C,	amorphous Ru^{18}O2,	209,	19L07,	1575816376.0004,	122,	10 min,	2203.701933518073,	[460.0, 920.0],	[4.79065638],	0.10001524484673915,	1.4070685751195653
Taiwan1C,	amorphous Ru^{18}O2,	209,	19L07,	1575816376.0004,	123,	20 min,	2075.3146728753795,	[920.0, 1580.0],	[3.14441617],	0.1000162408242424,	1.4039739851590909
Taiwan1C,	amorphous Ru^{18}O2,	209,	19L07,	1575816376.0004,	124,	30 min,	1554.0340130864165,	[1580.0, 2170.0],	[2.63395595],	0.09578084421845892,	1.4007839144453853
